# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,7.184092858755907,2.1738609515024954,98.57374935361618,0,5.0,1445.9494613464335,-136.6365770416168,0.0,-0.0022619326173473286
 0.011414950190702697,7.184044294785064,2.174183063866569,98.57374935361618,0.057074750953513484,5.0,1445.9494613464335,-136.63660286146495,5024.888595564403,-0.015781750298537376
 0.016322863811417423,7.18389912493042,2.1744046072119954,123.2354685343608,0.05086084454378418,-1.2660993835552448,1932.8709977164676,-136.6366803169322,6249.168139477892,-0.026925665065373302
 0.021116760446977422,7.183658132278798,2.174526376550779,153.19333465325263,0.06178642574377506,2.279060653696095,1309.7362840464332,-136.63680939578737,4988.071812742748,-0.03931024058395448
 0.025713065568271395,7.183322099917025,2.174549166894926,176.1200346715442,0.08476795135024491,4.9999999999999964,621.8847527338787,-136.63699007764748,3040.7435350826595,-0.05110869577832891
 0.03025742596940095,7.182891810931924,2.174473773256441,-170.06173081763546,0.10748975335589268,5.000000000000001,293.52919219960967,-136.63722233398073,1795.9557495656254,-0.06126867158548662
 0.03488938751019016,7.182368048410322,2.1743009906473283,-161.7429328566882,0.13064956105983877,5.000000000000005,152.40434342778684,-136.63750612811117,1132.2981608283749,-0.07099861827224695
 0.039611833121163315,7.181751595439043,2.174031614079594,-156.39571637677128,0.15426178911470453,5.0,87.09947249849459,-136.63784141522441,765.1216231830103,-0.08067260166967852
 0.04440561864804193,7.181043235104913,2.173666438565243,-152.72788741325468,0.1782307167490976,5.000000000000002,53.8428554209782,-136.63822814237471,547.3123572596143,-0.09040118993864239
 0.04925186147900519,7.180243750494756,2.1732062591162804,-150.07547882558768,0.20246193090391393,5.000000000000002,35.414341211695955,-136.63866624849337,409.44761906301216,-0.10021349084046399
 0.05413559420732343,7.1793539246953975,2.172651870744711,-148.07584608783768,0.22688059454550516,5.000000000000005,24.46819751553463,-136.6391556643984,317.3218883871137,-0.11011289808184674
 0.0590455404200677,7.178374540793662,2.172004068462541,-146.5178126837305,0.2514303256092265,4.999999999999998,17.58819519607787,-136.6396963128053,252.96624959719043,-0.12009494142917551
 0.06397327115655516,7.177306381876376,2.1712636472817737,-145.27126312029648,0.2760689792916638,5.000000000000004,13.058710425837209,-136.6402881083395,206.342160747623,-0.13015322311526523
 0.06891244357696465,7.176150231030362,2.1704314022144153,-144.25210361076412,0.30076484139371124,4.999999999999997,9.959822406797675,-136.64093095754953,171.52948358954094,-0.14028138304389434
 0.07385822724074817,7.174906871342447,2.1695081282724717,-143.4037558929697,0.32549375971262884,4.999999999999997,7.770138606782431,-136.64162475892212,144.87052626395814,-0.15047368417946652
 0.0788068930480175,7.173577085899456,2.1684946204679467,-142.68684007316617,0.35023708874897547,5.0,6.179887995652422,-136.6423694028979,124.01349543625241,-0.16072511480996599
 0.08375552221591989,7.172161657788212,2.167391673812846,-142.0731432724368,0.37498023458848745,5.0,4.997457271950332,-136.64316477188908,107.39352093969362,-0.17103133018446967
 0.0887017996469954,7.170661370095544,2.1662000833191737,-141.54194512356906,0.399711621743865,5.0,4.1001259904796505,-136.64401074029757,93.93801028426172,-0.18138855194536577
 0.09364386588004876,7.169077005908274,2.164920643998937,-141.077697254943,0.42442195290913176,4.999999999999992,3.406882135051782,-136.6449071745352,82.89255324037754,-0.1917934669660489
 0.09858020977303049,7.167409348313227,2.1635541508641394,-140.6685111059812,0.44910367237404036,4.999999999999995,2.8628091362793815,-136.64585393304458,73.71437555946358,-0.20224313913907532
 0.10350958973276117,7.165659180397229,2.162101398926787,-140.30514494035432,0.4737505721726938,5.000000000000003,2.4297976242106025,-136.64685086632164,66.00507735618888,-0.21273493634862817
 0.10843097516797878,7.163827285247105,2.1605631831988834,-139.98030851400316,0.4983574993487819,5.000000000000005,2.0808450283905326,-136.64789781693895,59.466984777031506,-0.22326647185896362
 0.11334350244037994,7.161914445949681,2.158940298692435,-139.68817532947853,0.5229201357107877,5.0,1.7964588237631758,-136.64899461957097,53.874120755560995,-0.23383555724341099
 0.1182464413361106,7.15992144559178,2.1572335404194467,-139.4240338073528,0.5474348301894411,5.000000000000014,1.5623300933381308,-136.65014110101978,49.0524682394099,-0.24444016523387543
 0.12313916926314093,7.157849067260227,2.1554437033919234,-139.18403342610804,0.5718984698245927,5.0,1.3677947878657875,-136.6513370802427,44.866282519055034,-0.2550783999585174
 0.1280211511881242,7.155698094041849,2.153571582621871,-138.96499704580884,0.5963083794495091,5.000000000000003,1.2047952252157939,-136.65258236838076,41.20842669141591,-0.265748473286084
 0.13289192388423715,7.15346930902347,2.151617973121293,-138.76428016623052,0.6206622429300739,5.000000000000017,1.0671662315981278,-136.65387676878848,37.99343553989295,-0.2764486858647635
 0.1377510834509726,7.151163495291915,2.149583669902196,-138.5796640004537,0.6449580407637512,5.000000000000023,0.9501361647269105,-136.6552200770651,35.152463002331814,-0.2871774117523553
 0.14259827534192662,7.148781435934009,2.1474694679765847,-138.40927326684175,0.6691940002185214,5.000000000000005,0.8499727497460645,-136.65661208108662,32.62955111216019,-0.2979330861625291
 0.1474331863329006,7.146323914036578,2.145276162356464,-138.251512291539,0.6933685551733912,5.000000000000005,0.763728141138505,-136.65805256103948,30.37884018873146,-0.30871419530332206
